3,1,1716.50,364.89,128.96,388.88,1,-1,-1,-1
4,1,1716.50,364.89,128.96,388.88,1,-1,-1,-1
5,1,1716.50,364.89,128.96,388.88,1,-1,-1,-1
6,1,1721.07,382.17,122.76,370.19,1,-1,-1,-1
7,1,1718.09,370.90,126.80,382.38,1,-1,-1,-1
8,1,1717.07,367.05,128.18,386.55,1,-1,-1,-1
9,1,1704.52,381.98,122.82,370.39,1,-1,-1,-1
9,2,275.72,445.63,86.32,261.00,1,-1,-1,-1
10,1,1699.82,387.56,120.82,364.35,1,-1,-1,-1
10,2,275.41,446.71,84.94,256.82,1,-1,-1,-1
11,1,1692.71,390.73,126.04,380.11,1,-1,-1,-1
11,2,275.20,447.45,83.99,253.94,1,-1,-1,-1
12,1,1696.73,373.41,134.09,404.36,1,-1,-1,-1
13,1,1698.32,366.82,137.12,413.49,1,-1,-1,-1
14,1,1699.05,364.22,138.27,416.95,1,-1,-1,-1
15,1,1692.96,364.38,132.59,399.80,1,-1,-1,-1
16,1,1690.68,364.49,130.32,392.96,1,-1,-1,-1
17,1,1679.16,380.64,123.69,373.00,1,-1,-1,-1
18,1,1674.94,386.74,121.19,365.47,1,-1,-1,-1
19,1,1672.27,371.46,132.40,399.26,1,-1,-1,-1
19,5,1807.48,441.49,62.98,191.06,1,-1,-1,-1
20,1,1671.32,366.02,136.40,411.30,1,-1,-1,-1
20,5,1816.66,438.43,60.86,184.61,1,-1,-1,-1
21,1,1671.09,363.87,137.96,415.99,1,-1,-1,-1
21,5,1810.58,441.38,63.20,191.70,1,-1,-1,-1
22,1,1671.12,363.06,138.53,417.69,1,-1,-1,-1
22,5,1817.28,438.62,60.93,184.82,1,-1,-1,-1
23,1,1671.23,362.79,138.71,418.22,1,-1,-1,-1
23,5,1819.69,437.63,60.05,182.15,1,-1,-1,-1
23,6,1.00,212.12,210.12,632.36,1,-1,-1,-1
24,1,1671.35,362.72,138.74,418.30,1,-1,-1,-1
24,5,1820.44,437.32,59.73,181.20,1,-1,-1,-1
24,6,31.05,231.40,199.36,599.99,1,-1,-1,-1
24,7,1324.20,460.65,68.64,207.93,1,-1,-1,-1
25,1,1671.48,362.73,138.72,418.23,1,-1,-1,-1
25,2,314.28,463.75,73.70,222.89,1,-1,-1,-1
25,5,1822.22,436.61,59.62,180.84,1,-1,-1,-1
25,6,41.51,238.11,195.62,588.72,1,-1,-1,-1
25,7,1324.20,460.65,68.64,207.93,1,-1,-1,-1
26,1,1671.59,362.76,138.68,418.11,1,-1,-1,-1
26,2,323.70,452.41,81.10,245.24,1,-1,-1,-1
26,7,1324.20,460.65,68.64,207.93,1,-1,-1,-1
27,1,1653.34,362.80,138.64,417.98,1,-1,-1,-1
27,2,326.83,452.24,81.17,245.47,1,-1,-1,-1
27,7,1324.20,460.65,68.64,207.93,1,-1,-1,-1
28,1,1645.51,360.29,145.16,437.61,1,-1,-1,-1
28,6,47.60,228.81,223.20,671.73,1,-1,-1,-1
28,7,1324.20,460.65,68.64,207.93,1,-1,-1,-1
29,1,1642.65,359.36,147.58,444.90,1,-1,-1,-1
29,6,53.91,230.70,225.81,679.59,1,-1,-1,-1
30,1,1642.64,361.55,142.01,428.10,1,-1,-1,-1
30,8,1313.00,545.00,39.00,119.00,1,-1,-1,-1
31,1,1641.86,340.05,146.37,441.23,1,-1,-1,-1
31,8,1313.00,545.00,39.00,119.00,1,-1,-1,-1
32,1,1641.63,332.19,147.95,445.99,1,-1,-1,-1
32,8,1313.00,545.00,39.00,119.00,1,-1,-1,-1
33,1,1641.66,329.26,148.53,447.71,1,-1,-1,-1
34,1,1641.77,328.26,148.71,448.24,1,-1,-1,-1
34,9,1792.88,290.84,156.61,471.91,1,-1,-1,-1
35,1,1642.88,350.14,142.20,428.64,1,-1,-1,-1
35,9,1793.04,287.18,159.24,479.85,1,-1,-1,-1
36,1,1643.42,358.72,139.65,420.93,1,-1,-1,-1
36,9,1793.08,286.53,159.91,481.87,1,-1,-1,-1
37,1,1641.85,359.33,139.52,420.55,1,-1,-1,-1
37,9,1793.08,286.69,159.98,482.06,1,-1,-1,-1
38,9,1793.07,287.00,159.88,481.76,1,-1,-1,-1
39,9,1793.06,287.31,159.76,481.38,1,-1,-1,-1
40,1,1638.33,387.58,130.13,392.26,1,-1,-1,-1
40,9,1787.24,278.33,167.40,504.39,1,-1,-1,-1
41,1,1620.20,368.49,142.66,430.02,1,-1,-1,-1
41,8,1320.89,545.00,39.00,119.00,1,-1,-1,-1
41,9,1786.42,274.64,169.66,511.22,1,-1,-1,-1
42,1,1630.85,383.22,134.01,403.95,1,-1,-1,-1
42,8,1321.56,545.00,39.00,119.00,1,-1,-1,-1
42,9,1791.38,285.03,161.82,487.58,1,-1,-1,-1
43,1,1635.41,389.11,130.47,393.31,1,-1,-1,-1
43,7,1338.08,460.65,68.64,207.93,1,-1,-1,-1
43,9,1792.05,294.48,152.79,460.38,1,-1,-1,-1
44,1,1620.20,369.91,142.16,428.51,1,-1,-1,-1
44,7,1338.41,460.65,68.64,207.93,1,-1,-1,-1
44,9,1792.28,297.79,149.65,450.92,1,-1,-1,-1
45,1,1634.93,365.57,139.90,421.72,1,-1,-1,-1
45,7,1339.16,460.65,68.64,207.93,1,-1,-1,-1
45,9,1786.97,282.59,163.52,492.67,1,-1,-1,-1
46,1,1641.03,363.82,138.95,418.86,1,-1,-1,-1
46,9,1790.63,286.01,161.05,485.24,1,-1,-1,-1
47,1,1622.67,360.62,145.17,437.59,1,-1,-1,-1
47,6,336.79,254.47,210.85,634.56,1,-1,-1,-1
47,9,1786.46,278.48,167.55,504.82,1,-1,-1,-1
48,1,1615.87,359.44,147.47,444.51,1,-1,-1,-1
48,6,341.96,222.84,210.17,632.50,1,-1,-1,-1
48,9,1784.92,275.72,169.95,512.03,1,-1,-1,-1
49,1,1613.30,359.02,148.33,447.10,1,-1,-1,-1
49,6,382.56,232.11,200.32,602.90,1,-1,-1,-1
49,9,1784.34,274.73,170.83,514.64,1,-1,-1,-1
50,1,1612.42,358.90,148.63,447.98,1,-1,-1,-1
50,6,400.31,231.64,198.43,597.20,1,-1,-1,-1
50,9,1783.63,272.68,172.36,519.27,1,-1,-1,-1
51,1,1604.13,333.79,155.70,469.27,1,-1,-1,-1
52,1,1601.06,324.38,158.34,477.21,1,-1,-1,-1
52,9,1784.06,274.26,171.25,515.91,1,-1,-1,-1
